"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Aug-2024","EQ","1,843.00","1,859.50","1,816.15","1,852.60","1,819.00","1,821.20","1,829.19","1,903.00","1,333.25","74,00,938","13,53,77,36,459.15","2,44,351"
"01-Aug-2024","EQ","1,856.10","1,867.90","1,845.10","1,868.25","1,847.65","1,852.60","1,854.74","1,903.00","1,333.25","74,75,014","13,86,42,07,889.10","2,87,435"
"31-Jul-2024","EQ","1,877.00","1,885.15","1,865.05","1,877.15","1,869.00","1,868.25","1,870.34","1,903.00","1,333.25","50,04,209","9,35,95,89,029.40","2,52,105"
"30-Jul-2024","EQ","1,871.10","1,879.95","1,860.00","1,871.10","1,875.20","1,877.15","1,870.20","1,903.00","1,333.25","27,21,265","5,08,93,17,285.25","1,60,022"
"29-Jul-2024","EQ","1,893.60","1,903.00","1,864.00","1,878.90","1,874.95","1,871.10","1,877.26","1,903.00","1,333.25","46,35,931","8,70,28,53,106.45","2,08,557"
"26-Jul-2024","EQ","1,825.35","1,883.00","1,825.35","1,824.85","1,880.00","1,878.90","1,871.89","1,883.00","1,324.25","1,13,69,047","21,28,15,66,352.95","3,13,143"
"25-Jul-2024","EQ","1,820.00","1,830.90","1,812.00","1,833.95","1,826.35","1,824.85","1,823.35","1,844.00","1,324.25","58,15,599","10,60,38,90,936.70","1,26,746"
"24-Jul-2024","EQ","1,837.50","1,842.35","1,819.60","1,836.90","1,835.70","1,833.95","1,830.65","1,844.00","1,324.25","60,02,845","10,98,90,83,504.35","1,82,691"
"23-Jul-2024","EQ","1,810.00","1,839.95","1,783.25","1,810.85","1,832.90","1,836.90","1,817.22","1,844.00","1,324.25","71,13,056","12,92,60,22,858.90","2,84,929"
"22-Jul-2024","EQ","1,800.15","1,823.00","1,792.95","1,792.95","1,810.00","1,810.85","1,810.74","1,844.00","1,324.25","84,62,126","15,32,27,28,881.10","2,86,478"
"19-Jul-2024","EQ","1,844.00","1,844.00","1,786.45","1,758.05","1,789.35","1,792.95","1,810.54","1,844.00","1,305.00","2,98,19,116","53,98,87,94,114.70","6,44,673"
"18-Jul-2024","EQ","1,719.00","1,765.40","1,719.00","1,726.05","1,764.05","1,758.05","1,747.57","1,765.40","1,305.00","1,12,48,896","19,65,82,77,359.25","3,41,763"
"16-Jul-2024","EQ","1,718.60","1,737.90","1,700.00","1,707.05","1,725.10","1,726.05","1,723.79","1,737.90","1,305.00","68,86,281","11,87,05,10,393.35","2,27,602"
"15-Jul-2024","EQ","1,726.20","1,728.00","1,702.65","1,711.75","1,709.00","1,707.05","1,715.63","1,733.00","1,305.00","69,42,230","11,91,03,04,891.25","1,77,986"
"12-Jul-2024","EQ","1,680.00","1,719.75","1,666.65","1,652.70","1,706.35","1,711.75","1,702.02","1,733.00","1,305.00","1,70,78,316","29,06,76,35,670.15","4,24,229"
"11-Jul-2024","EQ","1,656.00","1,665.00","1,642.05","1,648.25","1,652.00","1,652.70","1,654.43","1,733.00","1,305.00","88,57,679","14,65,44,03,571.10","2,29,626"
"10-Jul-2024","EQ","1,657.00","1,674.00","1,637.55","1,657.15","1,645.00","1,648.25","1,652.95","1,733.00","1,305.00","98,52,770","16,28,61,53,350.05","2,12,673"
"09-Jul-2024","EQ","1,659.90","1,666.75","1,651.00","1,661.65","1,656.20","1,657.15","1,659.82","1,733.00","1,305.00","51,91,182","8,61,64,14,737.65","1,80,329"
"08-Jul-2024","EQ","1,643.10","1,666.00","1,640.00","1,647.45","1,660.95","1,661.65","1,656.59","1,733.00","1,305.00","58,80,533","9,74,16,54,630.55","1,80,580"
"05-Jul-2024","EQ","1,651.45","1,665.85","1,633.35","1,650.65","1,641.10","1,647.45","1,652.13","1,733.00","1,305.00","70,65,022","11,67,23,61,071.65","1,97,833"
"04-Jul-2024","EQ","1,628.20","1,660.00","1,628.00","1,627.40","1,648.95","1,650.65","1,652.82","1,733.00","1,305.00","80,08,311","13,23,62,97,146.75","2,26,165"
"03-Jul-2024","EQ","1,625.00","1,636.00","1,606.00","1,621.05","1,629.25","1,627.40","1,621.60","1,733.00","1,305.00","72,69,965","11,78,90,03,344.75","1,57,551"
"02-Jul-2024","EQ","1,596.20","1,633.80","1,586.50","1,590.80","1,620.00","1,621.05","1,618.80","1,733.00","1,305.00","1,04,93,173","16,98,63,88,682.30","3,92,727"
"01-Jul-2024","EQ","1,559.50","1,599.90","1,559.50","1,566.75","1,586.00","1,590.80","1,588.60","1,733.00","1,305.00","68,01,771","10,80,52,77,301.65","2,44,645"
